character,id,favs,posts
harusame_(maid)_(kancolle),3417442,41,94
super_sonic,436031,100,94
sussurro_(travel_freely)_(arknights),8440426,29,94
cure_majesty,7274772,15,94
phainon_(fashion)_(honkai:_star_rail),9510445,14,94
kanae_(8th_costume)_(nijisanji),5474788,21,93
oozora_subaru_(casual),5328993,93,93
phainon_(luckin_coffee)_(honkai:_star_rail),9936937,6,93
kiana_kaslana_(herrscher_of_flamescion),5387549,66,93
nagato_kai_ni_(kancolle),2732493,99,93
yuubari_kai_ni_(kancolle),5575561,78,93
cure_sky_(dark),7142396,21,93
benikurage_(cookie),3364685,67,93
executor_the_ex_foedere_(arknights),7756561,34,93
saber_alter_(second_ascension),6604327,113,92
alcremie_(vanilla_cream),3832530,70,92
fuuka_(new_year)_(blue_archive),5959671,71,92
nakiri_ayame_(girly),4964968,63,92
basil_(birthday)_(omori),8878368,10,92
yuzuki_yukari_(onn),1866187,30,92
honma_himawari_(1st_costume),3952610,37,92
jessica_the_liberated_(arknights),6655886,129,92
kobo_kanaeru_(1st_costume),6566363,48,91
m16a1_(boss)_(girls'_frontline),3384511,100,91
female_chief_(path_to_nowhere),5977340,97,91
tenochtitlan_(second_ascension)_(fate),6071491,75,91
leonardo_da_vinci_(rider)_(fate),5389892,118,91
kiana_kaslana_(herrscher_of_finality),7285953,55,91
aston_machan_(flare)_(umamusume),5743564,29,91
penance_(occasionally_flushed)_(arknights),6944718,104,91
kizuna_akari_(a.i._voice),6062182,22,91
akai_haato_(gothic_lolita),4349552,104,91
hiryuu_kai_ni_(kancolle),2009307,35,90
fischl_(ein_immernachtstraum)_(genshin_impact),5530790,110,90
shingyoku_(touhou),7222881,15,90
hero_(headspace)_(omori),6775968,17,90
sailor_jupiter,4493028,42,90
kinomoto_sakura_(clear_wings),7449305,31,90
amemori_sayo_(1st_costume),3853408,22,90
momosuzu_nene_(casual),5166948,48,90
shirakami_fubuki_(new_year),4213555,83,89
tokino_sora_(1st_costume),6156277,56,89
tokisaki_kurumi_(spirit),4114052,70,89
saber_alter_(gothic_lolita),578992,97,89
silica_(sao-alo),1875395,32,89
schwertkreuz,4422735,90,89
harmony's_clownfish_(splatoon),5597386,57,89
amane_kanata_(nurse),5374116,52,89
shaymin_(land),628962,32,89
dark_sakura,4520791,205,89
conch_(gundam),9231647,27,89
nanashi_mumei_(new_year),5086442,78,89
ooshio_kai_ni_(kancolle),2365012,88,89
mysta_rias_(1st_costume),5127546,9,89
kylar_(degrees_of_lewdity),9117958,21,88
yuzuki_yukari_(lin),4303233,16,88
sinon_(sao-alo),1364910,74,88
yuzuki_yukari_(vocaloid4),1866187,30,88
diluc_(red_dead_of_night)_(genshin_impact),5490304,44,88
nightmare_(nanashi_mumei),7259920,110,88
mega_absol,2917612,18,88
bb_(fate/extra),5649986,188,87
